Rank,Car_Make,Car_ID,Total_Score
4,Acura,113,116
6,Acura,112,110
8,Acura,50,102
3,Audi,15,120
83,Audi,18,38
98,Audi,116,28
108,Bmw,2,24
117,Bmw,172,22
140,Bmw,111,10
33,Chevy,218,64
55,Chevy,170,50
166,Chevy,0,0
11,Chrystler,216,96
149,Dodge,42,8
49,Ford,137,54
94,Ford,120,30
104,Ford,219,26
5,Honda,83,112
7,Honda,65,106
9,Honda,31,102
30,Hyundai,30,66
40,Hyundai,38,62
95,Hyundai,92,30
1,Infiniti,128,128
68,Infiniti,122,44
79,Infiniti,20,38
2,Jeep,124,124
31,Lexus,123,66
74,Lexus,222,40
146,Lexus,190,10
59,Mazda,52,48
86,Mazda,78,36
105,Mazda,141,26
22,Mercedes,25,78
28,Mercedes,84,70
88,Mercedes,17,34
10,Mitsu,91,102
63,Mitsu,140,44
76,Mitsu,176,40
12,Nissan,228,92
18,Nissan,161,84
19,Nissan,3,84
21,Scion,57,80
121,Scion,235,20
24,Subaru,36,74
29,Subaru,33,68
37,Subaru,21,62
43,Toyota,142,58
44,Toyota,110,58
47,Toyota,43,54
14,Volkswagen,126,92
20,Volkswagen,180,82
45,Volkswagen,156,56
116,Volvo,100,22
